run_id,experiment,sample_rate_hz,center_frequency_hz,tones_hz,source_power_dbm,mixer_config,cable_config,n_samples,run_kind,status,n_blocks_saved,sample_rate_hz_requested,sample_rate_hz_actual,sample_rate_error_hz,qc_analysis_pass,qc_recommended_pass
e1_sr1000000_f1826087_idx20_fir_default__pp10p0,E1,1000000.026490954,0.0,[1826086.956521739],10.0,direct_sdr:default,siggen_to_sdr_direct,2048,power_tier_capture,captured,5,1000000.0,1000000.026490954,0.02649095398373902,True,True
e1_sr1000000_f1913043_idx21_fir_alias_hack__pm30p0,E1,1000000.026490954,0.0,[1913043.4782608696],-30.0,direct_sdr:alias_hack,siggen_to_sdr_direct,2048,power_tier_capture,captured,5,1000000.0,1000000.026490954,0.02649095398373902,True,True
e1_sr1000000_f1913043_idx21_fir_alias_hack__pm40p0,E1,1000000.026490954,0.0,[1913043.4782608696],-40.0,direct_sdr:alias_hack,siggen_to_sdr_direct,2048,power_tier_capture,captured_guard_fail,5,1000000.0,1000000.026490954,0.02649095398373902,True,False
e1_sr1000000_f1913043_idx21_fir_alias_hack__pm50p0,E1,1000000.026490954,0.0,[1913043.4782608696],-50.0,direct_sdr:alias_hack,siggen_to_sdr_direct,2048,power_tier_capture,captured_guard_fail,5,1000000.0,1000000.026490954,0.02649095398373902,True,False
e1_sr1000000_f1913043_idx21_fir_default__pm10p0,E1,1000000.026490954,0.0,[1913043.4782608696],-10.0,direct_sdr:default,siggen_to_sdr_direct,2048,power_tier_capture,captured,5,1000000.0,1000000.026490954,0.02649095398373902,True,True
e1_sr1000000_f1913043_idx21_fir_default__pp0p0,E1,1000000.026490954,0.0,[1913043.4782608696],0.0,direct_sdr:default,siggen_to_sdr_direct,2048,power_tier_capture,captured,5,1000000.0,1000000.026490954,0.02649095398373902,True,True
e1_sr1000000_f1913043_idx21_fir_default__pp10p0,E1,1000000.026490954,0.0,[1913043.4782608696],10.0,direct_sdr:default,siggen_to_sdr_direct,2048,power_tier_capture,captured,5,1000000.0,1000000.026490954,0.02649095398373902,True,True
e1_sr1000000_f2000000_idx22_fir_alias_hack__pm30p0,E1,1000000.026490954,0.0,[2000000.0],-30.0,direct_sdr:alias_hack,siggen_to_sdr_direct,2048,power_tier_capture,captured,5,1000000.0,1000000.026490954,0.02649095398373902,True,True
e1_sr1000000_f2000000_idx22_fir_alias_hack__pm40p0,E1,1000000.026490954,0.0,[2000000.0],-40.0,direct_sdr:alias_hack,siggen_to_sdr_direct,2048,power_tier_capture,captured_guard_fail,5,1000000.0,1000000.026490954,0.02649095398373902,True,False
e1_sr1000000_f2000000_idx22_fir_alias_hack__pm50p0,E1,1000000.026490954,0.0,[2000000.0],-50.0,direct_sdr:alias_hack,siggen_to_sdr_direct,2048,power_tier_capture,captured_guard_fail,5,1000000.0,1000000.026490954,0.02649095398373902,True,False
e1_sr1000000_f2000000_idx22_fir_default__pm10p0,E1,1000000.026490954,0.0,[2000000.0],-10.0,direct_sdr:default,siggen_to_sdr_direct,2048,power_tier_capture,captured,5,1000000.0,1000000.026490954,0.02649095398373902,True,True
e1_sr1000000_f2000000_idx22_fir_default__pp0p0,E1,1000000.026490954,0.0,[2000000.0],0.0,direct_sdr:default,siggen_to_sdr_direct,2048,power_tier_capture,captured,5,1000000.0,1000000.026490954,0.02649095398373902,True,True
e1_sr1000000_f2000000_idx22_fir_default__pp10p0,E1,1000000.026490954,0.0,[2000000.0],10.0,direct_sdr:default,siggen_to_sdr_direct,2048,power_tier_capture,captured,5,1000000.0,1000000.026490954,0.02649095398373902,True,True
e1_sr1000000_f260870_idx02_fir_alias_hack__pm30p0,E1,1000000.026490954,0.0,[260869.5652173913],-30.0,direct_sdr:alias_hack,siggen_to_sdr_direct,2048,power_tier_capture,captured_guard_fail,5,1000000.0,1000000.026490954,0.02649095398373902,True,False
e1_sr1000000_f260870_idx02_fir_alias_hack__pm40p0,E1,1000000.026490954,0.0,[260869.5652173913],-40.0,direct_sdr:alias_hack,siggen_to_sdr_direct,2048,power_tier_capture,captured,5,1000000.0,1000000.026490954,0.02649095398373902,True,True
e1_sr1000000_f260870_idx02_fir_alias_hack__pm50p0,E1,1000000.026490954,0.0,[260869.5652173913],-50.0,direct_sdr:alias_hack,siggen_to_sdr_direct,2048,power_tier_capture,captured,5,1000000.0,1000000.026490954,0.02649095398373902,True,True
e1_sr1000000_f260870_idx02_fir_default__pp0p0,E1,1000000.026490954,0.0,[260869.5652173913],0.0,direct_sdr:default,siggen_to_sdr_direct,2048,power_tier_capture,captured_guard_fail,5,1000000.0,1000000.026490954,0.02649095398373902,True,False
e1_sr1000000_f260870_idx02_fir_default__pp10p0,E1,1000000.026490954,0.0,[260869.5652173913],10.0,direct_sdr:default,siggen_to_sdr_direct,2048,power_tier_capture,captured_guard_fail,5,1000000.0,1000000.026490954,0.02649095398373902,True,False
e1_sr1000000_f347826_idx03_fir_alias_hack__pm30p0,E1,1000000.026490954,0.0,[347826.0869565217],-30.0,direct_sdr:alias_hack,siggen_to_sdr_direct,2048,power_tier_capture,captured_guard_fail,5,1000000.0,1000000.026490954,0.02649095398373902,True,False
e1_sr1000000_f347826_idx03_fir_alias_hack__pm40p0,E1,1000000.026490954,0.0,[347826.0869565217],-40.0,direct_sdr:alias_hack,siggen_to_sdr_direct,2048,power_tier_capture,captured,5,1000000.0,1000000.026490954,0.02649095398373902,True,True
e1_sr1000000_f347826_idx03_fir_alias_hack__pm50p0,E1,1000000.026490954,0.0,[347826.0869565217],-50.0,direct_sdr:alias_hack,siggen_to_sdr_direct,2048,power_tier_capture,captured,5,1000000.0,1000000.026490954,0.02649095398373902,True,True
